County;Subcounty;Ward
;;Kedowa/Kimugul
;;Chepseon
;;Ainamoi
;;Kapkugerwet
;;Kipchebor
;;Kipchimchim
;;Kapsaos
;;Kisiara
;;Tebesonik
;;Cheboin
;;Chemosot
;;Litein
;;Cheplanget
;;Kapkatet
;;Waldai
;;Kabianga
;;Cheptororiet/Seretut
;;Chaik
;;Kapsuser
;;Sigowet
;;Kaplelartet
;;Soliat
;;Soin
;;Kiamwangi
;;Kiganjo
;;Ndarugu
;;Ngenda
;;Gituamba
;;Githobokoni
;;Chania
;;Mangu
;;Murera
;;Theta
;;Juja
;;Witeithie
;;Kalimoni
;;Township
;;Kamenu
;;Hospital
;;Gatuanyaga
;;Ngoliba
;;Gitothua
;;Biashara
;;Gatongora
;;Kahawa Sukari
;;Kahawa Wendani
;;Kiuu
;;Mwiki
;;Mwihoko
;;Githunguri
;;Makina
;;Githiga
;;Ikinu
;;Ngewa
;;Komothai
;;Ting'ang'a
;;Ndumberi
;;Riabai
;;Township
;;Cianda
;;Karuri
;;Nenderu
;;Muchatha
;;Kihara
;;Gitaru
;;Muguga
;;Nyathuna
;;Kabete
;;Uthiru
;;Karai
;;Nachu
;;Sigona
;;Kikuyu
;;Kinoo
;;Bibirioni
;;Limuru Central
;;Ndeiya
;;Limuru East
;;Ngecha/Tigoni
;;Masige West
;;Kinale
;;Kijabe
;;Nyanduma
;;Kamburu
;;Lari/Kirenga
;;Tezo
;;Sokoni
;;Kibarani
;;Dabaso
;;Matsangoni
;;Watamu
;;Mnarani
;;Junju
;;Mwarakaya
;;Shimo La Tewa
;;Chasimba
;;Mtepeni
;;Mariakani
;;Kayafungo
;;Kaloleni
;;Mwanamwinga
;;Mwawesa
;;Ruruma
;;Kambe/Ribe
;;Rabai/Kisurutini
;;Ganze
;;Bamba
;;Jaribuni
;;Sokoke
;;Jilore
;;Kakuyuni
;;Ganda
;;Malindi Town
;;Shella
;;Marafa
;;Magarini
;;Gongoni
;;Adu
;;Garashi
;;Sabaki
;;Mutithi
;;Kangai
;;Thiba
;;Wamumu
;;Nyangati
;;Murinduko
;;Gathigiriri
;;Tebere
;;Kabare
;;Baragwi
;;Njuki-Ini
;;Ngariama
;;Karumandi
;;Mukure
;;Masige East
;;Kiine
;;Kariti
;;Mutira
;;Kanyekini
;;Kerugoya
;;Inoi
;;Bomariba
;;Bokiakumi
;;Bomorenda
;;Riana
;;Tabaka
;;Boikanga
;;Bogetenga
;;Borabu/Chitago
;;Moticho
;;Getenga
;;Bombaba Borabu
;;Boochi Borabu
;;Bokimonge
;;Magenche
;;Bassi Central
;;Nyacheki
;;Bassi Bogetaorio
;;Bobasi Chache
;;Sameta/Mokwerero
;;Bobasi/Boitangare
;;Majoge Bassi
;;Boochi/Tendere
;;Bosoti/Sengera
;;Ichuni
;;Nyamasibi
;;Masimba
;;Gesusu
;;Kiamokama
;;Bobaracho
;;Kisii Central
;;Keumbu
;;Kiogoro
;;Birongo
;;Ibeno
;;Monyerero
;;Sensi
;;Marani
;;Kegogi
;;Bogusero
;;Bogeka
;;Nyakoe
;;Kitutu Central
;;Nyatieko
;;Kajulu
;;Kolwa East
;;Manyatta 'B'
;;Nyalenda 'A'
;;Kolwa Central
;;South West Kisumu
;;Central Kisumu
;;Kisumu North
;;West Kisumu
;;North West Kisumu
;;Railways
;;Migosi
;;Shauri Moyo/Kaloleni
;;Market Milimani
;;Kondele
;;Nyalenda 'B'
;;West Seme
;;Central Seme
;;East Seme
;;North Seme
;;East Kano/Wawidhi
;;Awasi/Onjiko
;;Ahero
;;Kabonyo/Kanyagwal
;;Kobura
;;Akithii
;;Miwani
;;Ombeyi
;;Masogo/Nyang'oma
;;Chemilil
;;Muhoroni Koru
;;South West Nyakach
;;North Nyakach
;;Central Nyakach
;;West Nyakach
;;South East Nyakach
;;Ngomeni
;;Kyuso
;;Mumoni
