|location|date|damage_livelihood|damage_general|people_affected|people_dead|houses_affected|livelihood_affected|infrastructures_affected|infrastructures_mentioned
4831|Zambia|||||||||school
4832|Namwala|||||||||houses
4833|Namwala|||||||||houses
4834|Namwala|||||||||houses
4835|Namwala|||||||||houses
4836|Namwala|||||||||houses
4837|Namwala|||||||||houses
4838|Namwala|||||||||houses
4839|Namwala|||||||||houses
4840|Namwala|||||||||houses
4841|Namwala|||||||||houses
4842|Namwala|||||||||houses
4843|Namwala|||||||||houses
4844|Zambia|||||||||school
4845|Zambia|||||||||schools
4846|Zambia|||||||||schools
4847|Zambia|||||||||houses
4848|Zambia|||||||||houses
4849|Zambia|||||||||schools
4850|Zambia|||||||||schools
4851|Zambia|||||||||schools
4852|Zambia|||||||||schools
4853|Zambia|2010, 2011||||||||School
4854|Zambia|2010, 2011||||||||houses
4855|Zambia|2010, 2011||||||||houses
4856|Zambia|2010, 2011||||||||schools
4857|Zambia|2010, 2011||||||||schools
4858|Zambia|2010, 2011||||||||school
4859|Zambia|2010||||||||strain
4860|Zambia|||||||||broad
4861|Zambia|||||||||hospital
4862|Zambia|||||||||road
4863|Zambia||||1 |||||
4864|Zambia|||||||||Road
4865|Zambia|||||||||Road
4866|Zambia|||||||||Road
4867|Zambia|||||||||Road
4868|Lusaka|2008/9, 2009/10||||||||Road
4869|Lusaka|2008/9, 2009/10||||||||embankments
4870|Lusaka|2008/9, 2009/10||||||||embankments
4871|Lusaka|2008/9, 2009/10||||||||bridges
4872|Lusaka|2008/9, 2009/10||||||||bridges
4873|Zambia|||||||||road
4874|Zambia|||||||||road
4875|Zambia|||||||||schools
4876|Zambia|||||||||schools
4877|Zambia|||||||||market
4878|Zambia|||||||||road
4879|Zambia|||||||||Bridges
4880|Zambia|||||||||Bridges
4881|Zambia|||||||||Embankment
4882|Zambia|||||||||road
4883|Lusaka|||||||||Bridges
4884|Lusaka|||||||||Bridges
4885|Lusaka|||||||||Road
4886|Lusaka|||||||||Embankments
4887|Lusaka|||||||||Embankments
4888|Zambia|||||||||Bridges
4889|Zambia|||||||||Bridges
4890|Zambia|||||||||Embankments
4891|Zambia|||||||||Embankments
4892|Zambia|||||||||Road
4893|Zambia|||||||||Bridges
4894|Zambia|||||||||Bridges
4895|Zambia|||||||||embankments
4896|Zambia|||||||||embankments
4897|Zambia|||||||||road
4898|Southern|2010||||||||road
4899|Zambia|||||||||Bridges
4900|Zambia|||||||||Bridges
4901|Zambia|||||||||Bridge
4902|Zambia|||||||||embankments
4903|Zambia|||||||||embankments
4904|Zambia|||||||||home
4905|Zambia|10 4.1, 10 4.2, 10 4.3||||||||Markets
4906|Zambia|10 4.1, 10 4.2, 10 4.3||||||||Markets
4907|Zambia|||||||17 crop||
4908|Zambia|||||||||Market
4909|Zambia||||5 |||||
4910|Zambia||||5 |||||
4911|Zambia||||28 |||||
4912|Zambia|||||||||Schools
4913|Zambia|||||||||Schools
4914|Zambia|||||||||School
4915|Zambia|||||||||Markets
4916|Zambia|||||||||Markets
4917|Zambia|2015, 2016, 2015, 2016, 2014, 2015 to, of 2016, 2015, of 2017, 2017||||||||strain
4918|Zimba|2.10||||||||market
4919|Western|of December 2016, to 2017 to||||||||school
4920|Central|of December 2016, to 2017 to||||||200000 cattle||
4921|Southern|of December 2016, to 2017 to||||||200000 cattle||
4922|Western|of December 2016, to 2017 to||||||200000 cattle||
4923|Western|of December 2016, to 2017 to||||||584024 cattle||
4924|Western|of December 2016, to 2017 to||||||350000 cattle||
4925|Western|of December 2016, to 2017 to||||||293000 cattle||
4926|Zambia|of 2016|||6 |||||
4927|Zambia|2016/17 mar||||||||market
4928|Zambia|||||||||market
4929|Zambia|||||||||market
4930|Zambia|||||||||market
4931|Zambia|||||||||market
4932|Zambia|||||||||markets
4933|Zambia|||||||||markets
4934|Zambia|||||||||road
4935|Zambia|||||||||market
4936|Zambia|||||||||market
4937|Zambia|||||||||home
4938|Zambia|||||||||home
4939|Zambia|10.0||||||||school
4940|Zambia|10.0||||||||school
4941|Zambia|10.0||||||||home
4942|Zambia|10.0||||||||school
4943|Zambia|10.0||||||||roads
4944|Zambia|10.0||||||||roads
4945|Zambia|10.0||||||||bridges
4946|Zambia|10.0||||||||bridges
4947|Zambia|10.0||||||||School
4948|Zambia|10.0||||||||School
4949|Zambia|10.0||||||||home
4950|Zambia|10.0||||||||Roads
4951|Zambia|10.0||||||||Roads
4952|Zambia|10.0||||||||Bridges
4953|Zambia|10.0||||||||Bridges
4954|Zambia|of 2014, 2015||||||||road
4955|Zambia|of 2014, 2015||||||||roads
4956|Zambia|of 2014, 2015||||||||roads
4957|Zambia|of 2014, 2015||||||||bridges
4958|Zambia|of 2014, 2015||||||||bridges
4959|Zambia|of 2014, 2015||||||||roads
4960|Zambia|of 2014, 2015||||||||roads
4961|Zambia|of 2014, 2015||||||||bridges
4962|Zambia|of 2014, 2015||||||||bridges
4963|Zambia|of 2014, 2015||||||||markets
4964|Zambia|of 2014, 2015||||||||markets
4965|Zambia|||||||||Home
4966|Zambia|||||||||School
4967|Zambia|||||||||School
4968|Chavuma|||||||||School
4969|Gwembe|2002||||||||school
4970|Gwembe|2002||||||||school
4971|Monze|2002||||||||school
4972|Monze|2002||||||||school
4973|Gwembe|2010|||36 |||||
4974|Gwembe|2010||||||||School
4975|Gwembe|2010||||||||School
4976|Gwembe|2010||||||||school
4977|Gwembe|2010||||||||school
4978|Gwembe|2010||||||||school
4979|Gwembe|||||||||markets
4980|Gwembe|||||||||markets
4981|Zambia||||5 |||||
4982|Chavuma|11.2|||22 |||||
4983|Zambia|||||||||schools
4984|Zambia|||||||||schools
4985|Zambia|||||||||markets
4986|Zambia|||||||||markets
4987|Zambia|||||||||roads
4988|Zambia|||||||||roads
4989|Zambia|||||||||bridges
4990|Zambia|||||||||bridges
4991|Zambia|||||||||school
4992|Zambia||||||||9 roadroads|
4993|Zambia||||||||1 clinic|
4994|Zambia|||||||||schools
4995|Zambia|||||||||schools
4996|Zambia|||||||||Bridges-
4997|Zambia|||||||||roads
4998|Zambia|||||||||roads
4999|Zambia|||||||||clinic
5000|Zambia|||||||||markets
5001|Zambia|||||||||markets
5002|Petauke|||||||||bridge
5003|Petauke|||||||||road
5004|Petauke|||||||||bridge
5005|Petauke|||||||||road
5006|Petauke|||||||||road
5007|Petauke|||||||||road
5008|Petauke|||||||||road
5009|Petauke|||||||||road
5010|Petauke|||||||||road
5011|Petauke|||||||||road
5012|Petauke|||||||||road
5013|Petauke|||||||||school
5014|Petauke|||||||||road
5015|Zambia|||||||||Road
5016|Zambia|||||||||Road
5017|Zambia|||||||||Road
5018|Zambia|||||||||road
5019|Zambia|||||||||road
5020|Zambia|||||||||road
5021|Zambia|||||||||road
5022|Mulobezi|||||||||bridge
5023|Mwandi|||||||||bridge
5024|Zambia|Dec. 2008|||54 |||||
5025|Kasempa|2008/9|||5 |||||
5026|Kabompo|2008/9, 2007/08, 2008/09|||359 |||||
5027|Kabompo|2008/9, 2007/08, 2008/09||||||||market
5028|Kabompo|2008/9, 2007/08, 2008/09|||18 |||||
5029|Kabompo|2008/9, 2007/08, 2008/09|||1945 |||||
5030|Kabompo|2008/9, 2007/08, 2008/09|||5 |||||
5031|Zambia|2008/9||||||||school
5032|Zambia|2008/9|||1232 |||||
5033|Zambia|2008/9|||1680 |||||
5034|Zambia|2008/9||||||||Roads
5035|Zambia|2008/9||||||||Roads
5036|Zambia|2008/9||||||||bridges
5037|Zambia|2008/9||||||||bridges
5038|Zambia|2008/9||||||||School
5039|Kaoma|December 2008, at 2008/09 mar, May 2009||||||||market
5040|Kaoma|December 2008, at 2008/09 mar, May 2009|||81145 |||||
5041|Mongu|2009|||5 |||||
5042|Chavuma||||5 |||||
5043|Chavuma|||||||||school
5044|Chavuma|||||||||school
5045|Chavuma|||||||||school
5046|Chavuma|||||||||schools
5047|Chavuma|||||||||schools
5048|Western||||1232 |||||
5049|Kasempa|August 2009, May 2010||||||||market
5050|Senanga|||||||||dams
