RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	6331500	6543100	16.583583	-2.978462	16:35:01N	2:58:42W	30QWD0229833490	NE30-15	L	LCTY		ML	08				N				ZOUGOUWAYT	Zougouwayt	Zougouwayt	ZOUGOUWAYT	Zougouwayt	Zougouwayt		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331508	6543108	16.736782	-2.994132	16:44:12N	2:59:39W	30QWD0062550437	NE30-15	L	RESF		ML	08				N			Forêt Classée	FORETCLASSEEDEKABARI	Forêt Classée de Kabari	Foret Classee de Kabari	KABARI FORETCLASSEEDE	Kabari, Forêt Classée de	Kabari, Foret Classee de		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331509	6543109	16.763594	-2.94837	16:45:49N	2:56:54W	30QWD0550353404	NE30-15	L	AREA		ML	08				N				MOUSSABANGOU	Moussa Bangou	Moussa Bangou	MOUSSABANGOU	Moussa Bangou	Moussa Bangou		2009-10-14	1,2,3,4	1			1993-09-01		
1	-1072034	-1591033	15.8388	-3.8054	15:50:20N	3:48:19W	30PVC1375851270	ND30-02	L	RESF		ML	08				N			Forêt Classée	FORETCLASSEEDEMOUNDIADIE	Forêt Classée de Moundiadié	Foret Classee de Moundiadie	MOUNDIADIE FORETCLASSEEDE	Moundiadié, Forêt Classée de	Moundiadie, Foret Classee de		2008-11-04	1,2,3,4,5	1			2008-11-04		
1	-1072034	-1591031	15.8388	-3.8054	15:50:20N	3:48:19W	30PVC1375851270	ND30-02	L	RESF		ML	08				V				FORETCLASSEEDEMOUNDIADE	Forêt Classée de Moundiadé	Foret Classee de Moundiade	MOUNDIADE FORETCLASSEEDE	Moundiadé, Forêt Classée de	Moundiade, Foret Classee de		2008-11-04	1,2,3,4,5				2008-11-04		
3	-1076524	-1597566	18.15	1.533333	18:09:00N	1:32:00E	31QCA4485307400	NE31-06	L	LCTY		ML	10				N				TOUZIK	Touzik	Touzik	TOUZIK	Touzik	Touzik		2006-06-02	1,2,3,4,5	1			1993-09-01		
3	-1075789	-1596472	17.033333	2.033333	17:02:00N	2:02:00E	31QCU9711983497	NE31-10	L	LCTY		ML	00				V				TINASSAMD	Tin Assamd	Tin Assamd	TINASSAMD	Tin Assamd	Tin Assamd		1993-12-18	1,2,3,4,5				1993-09-01		
3	-1075789	-1596471	17.033333	2.033333	17:02:00N	2:02:00E	31QCU9711983497	NE31-10	L	LCTY		ML	00				N				TINASSAGUID	Ti-n-Assaguid	Ti-n-Assaguid	TINASSAGUID	Ti-n-Assaguid	Ti-n-Assaguid		1993-12-18	1,2,3,4,5	1			1993-09-01		
3	-1075789	-1596470	17.033333	2.033333	17:02:00N	2:02:00E	31QCU9711983497	NE31-10	L	LCTY		ML	00				V				TINASAGUID	Ti-n-Asaguid	Ti-n-Asaguid	TINASAGUID	Ti-n-Asaguid	Ti-n-Asaguid		1993-12-18	1,2,3,4,5				1993-09-01		
3	-1074810	-1594940	17.066667	.366667	17:04:00N	0:22:00E	31QBU1971788821	NE31-09	L	LCTY		ML	00				N				TABATOULT	Tabatoult	Tabatoult	TABATOULT	Tabatoult	Tabatoult		1993-12-18	1,2,3,4,5	1			1993-09-01		
